d17Ow,d18Ow,Dp17Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-4.8289,-9.200000000000024,39.5,5.1612,26.6,17.0,33.0
-4.8284,-9.200000000000024,40.0,5.4813,26.4,17.0,33.0
-4.8279,-9.200000000000024,40.5,5.7908,26.0,17.0,32.0
-4.8274,-9.200000000000024,41.0,5.711,25.7,16.0,32.0
-4.8269,-9.200000000000024,41.5,5.5354,25.6,16.0,32.0
-4.8264,-9.200000000000024,42.0,6.3163,25.4,16.0,32.0
-4.8259,-9.200000000000024,42.5,6.2358,25.0,16.0,31.0
-4.8254,-9.200000000000024,43.0,6.6416,24.9,16.0,31.0
-4.7283,-9.000000000000025,34.0,6.031,29.9,20.0,37.0
-4.7278,-9.000000000000025,34.5,6.5352,29.6,20.0,36.0
-4.7268,-9.000000000000025,35.5,5.7509,28.9,19.0,36.0
-4.7263,-9.000000000000025,36.0,5.3738,28.7,19.0,35.0
-4.7258,-9.000000000000025,36.5,6.0007,28.4,19.0,35.0
-4.7253,-9.000000000000025,37.0,5.7306,28.0,18.0,35.0
-4.7248,-9.000000000000025,37.5,5.1786,27.7,18.0,34.0
-4.7243,-9.000000000000025,38.0,5.1295,27.6,18.0,34.0
-4.7238,-9.000000000000025,38.5,5.7321,27.1,18.0,34.0
-4.7233,-9.000000000000025,39.0,5.8173,26.9,17.0,33.0
-4.7228,-9.000000000000025,39.5,5.3495,26.7,17.0,33.0
-4.7223,-9.000000000000025,40.0,5.6079,26.6,17.0,33.0
-4.7218,-9.000000000000025,40.5,6.2385,26.1,17.0,33.0
-4.7213,-9.000000000000025,41.0,6.2629,25.7,16.0,32.0
-4.7208,-9.000000000000025,41.5,6.2292,25.6,16.0,32.0
-4.6227,-8.800000000000026,33.5,6.2417,30.0,20.0,37.0
-4.6222,-8.800000000000026,34.0,5.5322,29.9,20.0,37.0
-4.6218,-8.800000000000026,34.5,5.918,29.6,20.0,36.0
-4.6213,-8.800000000000026,35.0,6.1802,29.1,19.0,36.0
-4.6208,-8.800000000000026,35.5,5.4724,29.0,19.0,36.0
-4.6203,-8.800000000000026,36.0,5.1918,28.7,19.0,35.0
-4.6198,-8.800000000000026,36.5,5.5997,28.6,19.0,35.0
